
    M/Ms  Teff(K)    L/Ls  lg(g)  R(Gcm)       D      Li          Ux          Bx           B           V         Vjm           R           I           Y           Z           J           H           K           L          L'           M

  0.0100  2142.   -3.13   3.84  13.87  1.0000  1.0000      23.719      21.451      21.512      19.564      19.769      16.697      14.127      11.548      12.064      10.443       9.815       9.335       8.853       8.516       8.834
  0.0150  2406.   -2.79   3.88  16.29  0.9950  1.0000      19.740      18.614      18.655      17.537      17.608      15.018      12.517      10.446      10.880       9.578       9.028       8.615       8.219       7.929       8.143
  0.0200  2545.   -2.57   3.88  18.72  0.9650  1.0000      18.017      17.138      17.168      16.277      16.317      14.023      11.618       9.830      10.214       9.052       8.510       8.127       7.764       7.502       7.663
  0.0300  2706.   -2.17   3.76  26.17  0.7300  1.0000      15.987      15.254      15.275      14.496      14.526      12.557      10.307       8.790       9.127       8.091       7.554       7.206       6.880       6.645       6.748
  0.0400  2784.   -1.92   3.69  32.99  0.5450  1.0000      14.964      14.264      14.281      13.544      13.570      11.737       9.559       8.149       8.465       7.477       6.936       6.610       6.308       6.081       6.170
  0.0500  2831.   -1.74   3.64  39.19  0.4130  1.0000      14.341      13.661      13.677      12.976      13.002      11.222       9.072       7.702       8.011       7.042       6.495       6.185       5.902       5.676       5.764
  0.0600  2870.   -1.61   3.60  44.46  0.2500  1.0000      13.895      13.227      13.242      12.572      12.597      10.849       8.716       7.371       7.676       6.719       6.167       5.871       5.604       5.378       5.468
  0.0700  2906.   -1.51   3.59  48.78  0.1180  1.0000      13.545      12.878      12.893      12.243      12.269      10.553       8.437       7.118       7.417       6.473       5.914       5.631       5.380       5.154       5.246
  0.0720  2911.   -1.49   3.59  49.79  0.1100  1.0000      13.477      12.810      12.825      12.178      12.204      10.494       8.381       7.065       7.364       6.422       5.861       5.580       5.331       5.106       5.198
  0.0750  2919.   -1.46   3.58  50.98  0.0860  1.0000      13.393      12.723      12.738      12.094      12.119      10.419       8.310       7.002       7.300       6.361       5.797       5.519       5.273       5.048       5.141
  0.0800  2931.   -1.42   3.57  53.17  0.0635  1.0000      13.249      12.577      12.591      11.953      11.977      10.292       8.190       6.893       7.188       6.254       5.686       5.412       5.172       4.947       5.041
  0.0900  2956.   -1.36   3.59  55.67  0.0124  1.0000      13.055      12.364      12.379      11.739      11.762      10.111       8.027       6.757       7.046       6.124       5.547       5.280       5.051       4.828       4.924
  0.1000  2998.   -1.44   3.73  49.80  0.0000  1.0000      13.171      12.403      12.420      11.722      11.743      10.174       8.136       6.936       7.210       6.318       5.733       5.473       5.250       5.036       5.131
  0.2000  3196.   -1.10   3.81  64.29  0.0000  1.0000      11.978      10.990      11.010      10.219      10.236       8.949       7.124       6.148       6.375       5.571       4.922       4.696       4.523       4.339       4.433
  0.3000  3404.   -0.86   3.85  74.82  0.0000  1.0000      11.123       9.994      10.018       9.100       9.116       8.024       6.420       5.605       5.798       5.055       4.339       4.140       4.005       3.866       3.967
  0.4000  3582.   -0.68   3.88  83.22  0.0000  1.0000      10.519       9.223       9.252       8.198       8.215       7.265       5.900       5.215       5.382       4.682       3.911       3.733       3.620       3.524       3.637
  0.5000  3731.   -0.54   3.91  90.61  0.0000  1.0000       9.999       8.615       8.647       7.533       7.551       6.690       5.501       4.897       5.049       4.380       3.585       3.427       3.332       3.265       3.389
  0.6000  3868.   -0.42   3.93  96.38  0.0000  0.9960       9.547       8.108       8.141       6.983       7.006       6.202       5.184       4.644       4.784       4.140       3.340       3.199       3.118       3.072       3.203
  0.7000  3998.   -0.31   3.95 102.29  0.0000  0.9780       9.087       7.641       7.675       6.503       6.530       5.763       4.892       4.400       4.531       3.910       3.119       2.994       2.922       2.893       3.028
  0.8000  4120.   -0.21   3.96 107.70  0.0000  0.9180       8.607       7.291       7.322       6.166       6.211       5.376       4.624       4.168       4.293       3.699       2.936       2.822       2.757       2.738       2.868
  0.9000  4232.   -0.13   3.97 112.52  0.0000  0.8730       8.163       6.923       6.954       5.823       5.869       5.063       4.397       3.970       4.090       3.519       2.789       2.684       2.623       2.609       2.734
  1.0000  4330.   -0.05   3.98 117.42  0.0000  0.8750       7.757       6.602       6.632       5.531       5.577       4.802       4.192       3.788       3.903       3.354       2.656       2.559       2.499       2.488       2.607
  1.1000  4421.    0.02   3.99 122.57  0.0000  0.8990       7.373       6.303       6.332       5.265       5.310       4.567       3.997       3.612       3.723       3.194       2.528       2.436       2.379       2.369       2.482
  1.2000  4505.    0.09   3.99 127.45  0.0000  0.9250       7.025       6.034       6.062       5.030       5.072       4.361       3.821       3.453       3.560       3.050       2.411       2.325       2.270       2.261       2.369
  1.3000  4588.    0.15   3.99 132.37  0.0000  0.9470       6.700       5.782       5.809       4.810       4.850       4.170       3.652       3.301       3.404       2.911       2.299       2.218       2.165       2.156       2.259
  1.4000  4671.    0.22   3.99 137.96  0.0000  0.9650       6.375       5.531       5.556       4.588       4.626       3.976       3.478       3.143       3.242       2.765       2.180       2.104       2.053       2.045       2.142

